N,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,ROE,ROA
701.0,KBSTAR iSelect메타버스,5540.0,225.0,-3.90%,0.0,79556.0,1211.0,,
702.0,ARIRANG 코스피TR,11215.0,200.0,-1.75%,0.0,59.0,1200.0,,
703.0,극동유화,3430.0,100.0,-2.83%,500.0,154183.0,1196.0,6.49,3.58
704.0,동양철관,1005.0,5.0,+0.50%,500.0,612506.0,1195.0,-4.4,-2.22
705.0,벽산,1735.0,75.0,-4.14%,500.0,352754.0,1190.0,-1.97,-0.31
706.0,아시아나IDT,10650.0,250.0,-2.29%,500.0,11576.0,1182.0,18.45,12.35
707.0,서연,5030.0,150.0,-2.90%,500.0,75837.0,1181.0,5.27,2.07
708.0,STX,4120.0,220.0,-5.07%,2500.0,1848754.0,1179.0,-28.88,-3.51
709.0,경동도시가스,19950.0,650.0,-3.16%,2500.0,31182.0,1176.0,6.05,2.76
710.0,HANARO 200TR,34495.0,495.0,-1.41%,0.0,5986.0,1173.0,,
711.0,경보제약,4905.0,105.0,-2.10%,500.0,12313.0,1173.0,-4.97,-3.06
712.0,신일전자,1650.0,80.0,-4.62%,500.0,1528511.0,1172.0,10.11,6.86
713.0,한국ANKOR유전,1670.0,15.0,-0.89%,0.0,43382.0,1169.0,,
714.0,전방,69500.0,500.0,-0.71%,5000.0,1533.0,1168.0,0.11,0.04
715.0,세종공업,4195.0,305.0,-6.78%,500.0,70802.0,1167.0,-2.16,-0.92
716.0,KCTC,3885.0,35.0,-0.89%,500.0,67345.0,1166.0,9.56,4.38
717.0,TIGER 현대차그룹+펀더멘털,19810.0,220.0,-1.10%,0.0,6453.0,1161.0,,
718.0,TIGER 코스피,22305.0,430.0,-1.89%,0.0,78040.0,1160.0,,
719.0,SK이노베이션우,92500.0,1400.0,-1.49%,5000.0,7594.0,1155.0,,
720.0,광전자,1985.0,65.0,-3.17%,500.0,84482.0,1150.0,5.39,4.34
721.0,에이블씨엔씨,4250.0,285.0,-6.28%,500.0,72626.0,1149.0,-32.04,-19.33
722.0,한양증권,9000.0,150.0,-1.64%,5000.0,18127.0,1146.0,20.28,4.41
723.0,KODEX 차이나항셍테크,5050.0,110.0,-2.13%,0.0,459852.0,1144.0,,
724.0,이지스레지던스리츠,4000.0,75.0,-1.84%,1000.0,43604.0,1134.0,,
725.0,KODEX 국고채3년,55375.0,155.0,-0.28%,0.0,2537.0,1132.0,,
726.0,황금에스티,6650.0,340.0,-4.86%,500.0,206133.0,1130.0,10.57,7.46
727.0,일성건설,2090.0,125.0,-5.64%,500.0,235288.0,1129.0,5.67,1.7
728.0,두산퓨얼셀1우,8400.0,530.0,-5.94%,100.0,34244.0,1123.0,,
729.0,KBSTAR 200TR,14940.0,230.0,-1.52%,0.0,5408.0,1120.0,,
730.0,화성산업,11000.0,450.0,-3.93%,5000.0,47771.0,1116.0,7.37,4.28
731.0,종근당바이오,20200.0,300.0,-1.46%,2500.0,8925.0,1108.0,-3.98,-2.26
732.0,한국공항,34950.0,950.0,-2.65%,5000.0,3408.0,1107.0,1.16,0.8
733.0,SG세계물산,546.0,22.0,-3.87%,500.0,673341.0,1105.0,21.32,16.32
734.0,인천도시가스,25250.0,900.0,-3.44%,5000.0,11977.0,1105.0,1.94,1.06
735.0,미래에셋글로벌리츠,3800.0,85.0,-2.19%,1000.0,102111.0,1104.0,,
736.0,에이플러스에셋,4875.0,25.0,-0.51%,500.0,56266.0,1102.0,12.59,5.74
737.0,대동전자,10500.0,600.0,-5.41%,500.0,92003.0,1101.0,5.13,4.06
738.0,TIGER 반도체,24510.0,370.0,-1.49%,0.0,28448.0,1098.0,,
