N,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,ROE,ROA
1.0,삼성전자,55200.0,600.0,-1.08%,100.0,13467547.0,3295320.0,13.92,9.92
2.0,LG에너지솔루션,477000.0,6000.0,-1.24%,500.0,302878.0,1116180.0,10.68,4.26
3.0,SK하이닉스,94900.0,900.0,+0.96%,5000.0,4179758.0,690874.0,16.84,11.48
4.0,삼성바이오로직스,807000.0,13000.0,-1.59%,2500.0,46758.0,574374.0,8.21,5.47
5.0,삼성전자우,50400.0,100.0,-0.20%,100.0,852138.0,414735.0,,
6.0,삼성SDI,596000.0,14000.0,-2.30%,5000.0,233776.0,409837.0,8.45,5.28
7.0,LG화학,575000.0,16000.0,-2.71%,5000.0,168317.0,405906.0,18.47,8.55
8.0,현대차,164500.0,3500.0,-2.08%,5000.0,683297.0,351484.0,6.84,2.57
9.0,기아,68300.0,100.0,+0.15%,5000.0,1357088.0,276863.0,14.69,7.48
10.0,NAVER,158500.0,3500.0,-2.16%,100.0,1454337.0,260018.0,106.72,64.99
11.0,셀트리온,165000.0,500.0,+0.30%,1000.0,388097.0,232307.0,16.04,11.14
12.0,카카오,47300.0,2550.0,-5.12%,100.0,2418426.0,210637.0,17.1,9.48
13.0,POSCO홀딩스,237500.0,1000.0,+0.42%,5000.0,514223.0,200857.0,13.97,8.44
14.0,삼성물산,107000.0,1000.0,-0.93%,100.0,260787.0,199969.0,5.4,3.34
15.0,현대모비스,195500.0,0.0,0.00%,5000.0,168717.0,184890.0,6.87,4.73
16.0,KB금융,44700.0,150.0,+0.34%,5000.0,1386121.0,182777.0,9.8,0.69
17.0,신한지주,34900.0,50.0,-0.14%,5000.0,1146541.0,179014.0,8.8,0.66
18.0,SK,199500.0,2500.0,-1.24%,200.0,112248.0,147928.0,10.19,3.77
19.0,SK이노베이션,151500.0,6000.0,-3.81%,5000.0,359260.0,140085.0,1.91,1.14
20.0,삼성생명,65400.0,300.0,+0.46%,500.0,275656.0,130800.0,4.01,0.47
21.0,LG전자,78100.0,1700.0,-2.13%,5000.0,583862.0,127809.0,6.32,2.78
