OperationStep,Ref.,Man.Item.No,Description,Qty
OP0003,,M61920054,PIPE ASSY - LOWER HEATSINK,1
OP0003,,M61920052,PIPE ASSY - LWR STATOR COOLING,1
OP0003,,M61920056,PPE ASSY - UPPER HEATSINK,1
OP0003,,M61920058,PIPE ASSY - 3RD STATOR UPPER HS,1
OP0003,,M56451036,SINGLE COOLING BLOK SWG,1
OP0003,,H03551520,STRAIGHT UNION 8MM-8MM(NORMAL),1
OP0003,,H03551524,UNION TEE 8MM-8MM-8MM(NORMAL),1
OP0003,,H03551523,UNION ELBOW 8MM-8MM(NORMAL),5
OP0005,,M56451030,PIPE SWG-PUMP STATOR FEED HYB,1
OP0005,,M56451034,LOWER STATOR COOLING SWG,1
OP0005,,M56451036,SINGLE COOLING BLOCK SWG,1
OP0005,,M56451032,UPPER HEATSINK SWG,1
OP0005,,M57571054,PIPE SWG-UPR TO LWR HSINK,2
OP0005,,H03551523,BODY-UNION ELBOW 8MM-8MM,6
OP0005,,H03551520,BODY-STRAIGHT UNION 8MM-8MM,2
OP0010,Non XD,M66930025,BASE RAIL ASSY RHS - 200H,1
OP0010,Non XD,M66930026,BASE RAIL ASSY LHS - 200H,1
OP0010,,218681017,M8 X 20 SOC HD SEMS ENP GR12.9,8
OP0010,(XD+),M61920025,BASE RAIL ASSY RHS - 200H S,1
OP0010,(XD+),M61920026,BASE RAIL ASSY LHS - 200H S,1
OP0020,LV (Non XD),A41261958,G4 200HP S PUMP 7.5KW LV WB,1
OP0020,HV (Non XD),A41261959,G4 200HP S PUMP 7.5KW HV WB,1
OP0020,LV XD+,A41672958,NB G4 200HP S XD PUMP 7.5KW LV WB,1
OP0020,HV XD+,A41672959,NB G4 200HP S XD PUMP 7.5KW HV WB,1
OP0030,1(Non XD),M56451030,PIPE SWG-PUMP STATOR FEED HYB,1
OP0030,2(Non XD),M56451034,LOWER STATOR COOLING SWG,1
OP0030,(Non XD),H03551520,BODY-STRAIGHT UNION 8MM-8MM,1
OP0030,(Non XD),H03551523,UNION ELBOW 8MM-8MM(NORMAL),3
OP0030,,218681016,M6X25 SOC HD SEMS,16
OP0040,Non XD,M66930048,G4 200 DP INSULATION JACKET,1
OP0040,XD+,M61920062,G4 200HP DP INSULATION JACKET,1
OP0050,STD,M66934040,EXH SYS SPLIT HEAT ASSY,1
OP0050,HYNIX,M66933040,EXH SYS SPLIT HEATED S ASSY HYX,1
OP0050,50025241,M64924040,EXH SYS HEATED S ASSY 50025241,1
OP0050,XD+,M61924040,EXH ASSY 200DP S XD PLAIN,1
OP0050,XD+ Hynix,M66933040,EXH SYS SPLIT HEATED S ASSY HYX,1
OP0050,,H02115009,METAL O'RING 31.85ID X 2.38SEC,1
OP0050,,218681016,M6X25 SOC HD SEMS ENP GR12.9,1
OP0050,,218681015,M8 X 30 SOC HD SEMS ENP GR12.9,4
OP0060,,A24801037,AV MOUNT - ELASTOMER,4
OP0070,,K50003003,LOOM TMS DP 3 THERMISTOR 6W RECEPT AMP,1
OP0070,,218231288,M4X10 SOC HD SCR,2
OP0070,,218986607,WASHER SP INT SS M4,2
OP0070,,218231328,M5X10 S/K H/D CAP SCREW SS,1
OP0070,,218984008,WASHER SP INT MS NI M5,1
OP0080,1,218960211,NUT FULL MS NI M10,4
OP0080,2,218982811,WASHER SPRING NI M6,4
OP0080,3,218980211,WASHER PLAIN MS NI M10,4
OP0090,1,H03537450,NUT&FERRULE SET 8M TUBE SS,6
OP0090,2,H03551523,UNION ELBOW 8MM-8MM(NORMAL),3
OP0090,3,H03551520,STRAIGHT UNION 8MM-8MM(NORMAL),2
OP0090,4,M66932060,PIPE SWG- DP MOTOR FEED,1
OP0090,"5
(Non XD)",M66932058,PIPE SWG-200H DP EC - GB OUT,1
OP0090,"5
(Non XD)",M66932058,PIPE SWG-200H DP EC - GB OUT,1
OP0090,6(XD+),M61920050,PIPE SWG-200H DP EC - GB OUT,1
OP0100,,H03541178,M CONN 1/4 TUBE-1/8BSPT BODY,5
OP0120,1(Non XD),M56451036,SINGLE COOLING BLOCK SWG,1
OP0120,2(Non XD),M56451032,UPPER HEATSINK SWG,1
OP0120,(Non XD),H03551523,UNION ELBOW 8MM-8MM(NORMAL),1
OP0120,(Non XD),H03551520,STRAIGHT UNION 8MM-8MM(NORMAL),1
OP0120,,218681016,M6X25 SOC HD SEMS ENP GR12.9,12
OP0140,1,H03543847,"1-4"" BSPP BODY BDY ONLY",1
OP0140,2,H02104032,DOWTY BONDED SEAL,1
OP0140,3,M56205044,FILTER COVER PLATE 100C,1
OP0140,4,H02122037,O RING E1M80 E2M80,1
OP0140,5,M56205043,FILTER HOLDER 100C,1
OP0140,6,H02122033,O’RING VIT 11.6IDX2.4,1
OP0140,7,A22305002,SINTERED FILTER 6.6 DIA,1
OP0150,1,"H02134000
",O-RING FKM HP 44.5ID X 2.4SEC,1
OP0160,1(Non XD),M57571054,PIPE SWG-UPR TO LWR HSINK,2
OP0160,(Non XD),H03551523,BODY-UNION ELBOW 8MM-8MM,2
OP0160,2(XD+),M61920060,PIPE - 3 RD UPR TO OUT,1
OP0170,,A27903026,THERMAL SNAP SWITCH,1
OP0170,,218430257,M3 X 4 SELF TAPPING SCR,2
OP0180,,K50000170,LOOM DP 3PH MOTOR/INVERTER  G4,1
OP0180,,A25908414,CONN MOTOR BLOCK LID,1
OP0180,,218680023,M5X12 POZI HD SEMS,6
OP0190,1820,M56430088,1820HP SUPPORT SPOOL Assembly PK1,1
OP0190,1220,M56420088,1220HP SUPPORT SPOOL ASSY,1
OP0190,,H02134012,ORING VIT9830  80.0ID X 2.4SEC,1
OP0190,,218681018,M10X30 SOC HD SEMS ENP GR12.9,4
OP0190,,H03541178,M CONN 1/4 TUBE-1/8BSPT BODY,1
OP0200,,M66930085,SUPPORT BRACE PAINTED MACHINED,1
OP0200,,218181578,M16x50 HE HD SCREW,2
OP0200,,218980214,M16 PLAIN WASHER,2
OP0200,,218982814,M16 SPRING WASHER,2
OP0200,,M66930039,SUPPORT BRACE BRACKET,1
OP0200,,218681015,M8 X 30 SOC HD SEMS ENP GR12.9,2
OP0210,,A22304116,STATIC FILTER ASSY 100 CRS G4,2
OP0210,,A41200054,STATIC FILTER COVER PLATE Pk.1,2
OP0210,,H02134000,O-RING FKM HP 44.5ID X 2.4SEC,2
OP0210,,27522-046,M6X16SOC HD CAP SCREW ENP. 100C,8
OP0220,LV,A42620958,NB G4 1200 BOOSTER 4.5KW LV WB,1
OP0220,LV,A42621958,NB G4 1800 BOOSTER 4.5KW LV WB,1
OP0220,HV,A42620959,NB G4 1200 BOOSTER 4.5KW HV WB,1
OP0220,HV,A42621959,NB G4 1800 BOOSTER 4.5KW HV WB,1
OP0230,,K50003002,LOOM TMS MB 2 THERMISTOR 4W RECEPT AMP,1
OP0230,,218231288,M4 X 10 SOC HD CAP ST.STL.,1
OP0230,,218986607,WASHER SP INT SS M4,1
OP0230,,218231328,M5X10 SOC HD SCREW,1
OP0230,,218984008,WASHER SP INT MS NI M5,1
OP0240,1820,M66932078,HEATSINK SWG-1800MB SS,1
OP0240,1820,M66932079,iXH1820HTXSS HEATED BOOSTER ASSY,1
OP0240,1220,M66922060,HEATSINK SWG-1200MB SS,1
OP0240,1220,M66922079,1200 HEATED BOOSTER HT KIT,1
OP0255,,M60920068,HEATSINK ASSY-MB ECOVER,1
OP0255,,H03551523,UNION ELBOW 8MM-8MM(NORMAL),2
OP0255,,218681016,M6X25 SOC HD SEMS,2
OP0260,1820,M56363025,G4 1800 BOOSTER STATOR JACKET Pk1,1
OP0260,1220,M56253025,G4 1200 BOOSTER STATOR JACKET Pk1,1
OP0270,,H02134113,ORING VIT9830 110.5ID X 5.3SEC,1
OP0270,,218681057,SCR SHCS SEMS M10X45 Ni G12.9,2
OP0270,1820,218681015,M8 X 30 SOC HD SEMS ENP GR12.9,8
OP0270,1220,218681015,M8 X 30 SOC HD SEMS ENP GR12.9,6
OP0270,1220,218681056,SCR HEX HD SEMS M8X30 Ni G8.8,2
OP0280,,A27903026,THERMAL SNAP SWITCH,1
OP0280,,218430257,M3 X 4 SELF TAPPING SCR,2
OP0290,,K50000180,LOOM MB 3PH MOTOR/INVERTER  G4 Pk1,1
OP0290,,A25908414,CONN MOTOR BLOCK LID,1
OP0290,,218680023,M5X12 POZI HD SEMS,6
OP0300,MB,H11312021,FOMBLIN DRYNERT 25/6,1
OP0310,,H03537450,NUT&FERRULE SET 8M TUBE SS,6
OP0310,(Non XD),H03551523,UNION ELBOW 8MM-8MM(NORMAL),4
OP0310,(Non XD),H03551520,STRAIGHT UNION 8MM-8MM(NORMAL),2
OP0310,1220,H02134113,ORING VIT9830 110.5ID X 5.3SEC,1
OP0310,1820,H02134010,ORING VIT9830 158.1ID X 5.3SEC,1
OP0310,(XD+),H03524039,CAP 8MM TUBE,2
OP0310,(XD+),H03551523,UNION ELBOW 8MM-8MM(NORMAL),3
OP0310,(XD+),H03551520,STRAIGHT UNION 8MM-8MM(NORMAL),1
OP0320,,K50000075,"LOOM PWR INLET S/ASSY LV, IXH",1
OP0320,,K50000095,"LOOM PWR INLET S/ASSY HV, IXH",1
OP0320,XD+ LV,K50000085,LOOM PWR INLET S/ASSY LV XD+,1
OP0320,,218980208,M5 PLAIN WASHER,2
OP0320,,218820004,M5 KEPS NUT,3
OP0320,,218680150,SCREW SEM M4X16 POZZI,4
OP0320,,D37480160,LATCH ANTY TAMPER MAINS CONN,1
OP0320,,"218680014
",SCREW SEM M4X12 PZZN+CPAS  !P!,2
OP0320,1,M66930030,REAR BULKHD 390 WD COMBI ASSY,1
OP0320,2,A53382030,RF EARTHING BRAID 1375 LG,1
OP0320,,218820006,M6 KEPS NUT,3
OP0320,,218980209,M6 PLAIN WASHER,2
OP0330,,M56110041,EMC DRIVE COVER          ,2
OP0330,DP LV,D37481975,MTR CNTRLR 7KW5 LV M/PACK(X12),1
OP0330,MB LV,D37481955,MTR CNTRLR 5KW5 LV M/PACK(X12),1
OP0330,DP HV,D37496575,MTR CNTRLR 7KW5 HV G4 MK2,1
OP0330,MB HV,D37496555,MTR CNTRLR 5KW5 HV G4 MK2,1
OP0330,,218820004,M5 KEPS NUT,6
OP0340,,D37480119,"BRKT KIT,RA 100CT",1
OP0340,,D37480047,WIRE 10MM2 G/Y 300 LG,1
OP0340,,D37480093,WIRE 10MM2 G/Y 240LG,1
OP0340,,K50000001,"LOOM PWR INLET S/ASSY LV, IXH",1
OP0340,,218680014,M4x12 Pozi Sems,6
OP0340,,218980208,M5 PLAIN WASHER,6
OP0340,,218820004,M5 KEPS NUT,9
OP0340,,218680150,SCREW SEM M4X16 POZZI,4
OP0350,,218980208,M5 PLAIN WASHER,4
OP0350,,218820004,M5 KEPS NUT,6
OP0360,1,D37480092,530LG EARTH WIRE,2
OP0360,2,D37480093,WIRE 10MM2 G/Y 240LG M5/M5  G4,2
OP0360,,218820004,M5 KEPS NUT,6
OP0360,,218820004,M5 KEPS NUT,6
OP0360,,218980208,M5 PLAIN WASHER,8
OP0360,,B21924015,CABLE TIE MOUNTING BASE,1
OP0370,1,H03543846,BULKHEAD CONN 8MM X 3/8BSPT BDY ONLY,1
OP0370,2,H03530068,3/8 BSP SS QUICK CONNECT-SOCT,1
OP0370,3,H03530073,DUST PLUG (EAGLE) 3/8 PLAS,1
OP0370,4(Non XD),M56691037,PIPE SWG-CONNECTING STUB SS,2
OP0370,5(XD+),M66932064,PIPE SWG-200H DP MTR OUT-CROSS,1
OP0370,6(XD+),M56691037,PIPE SWG-CONNECTING STUB SS,1
OP0370,7,H03551524,UNION TEE 8MM-8MM-8MM(NORMAL),1
OP0380,1,H03524264,"FEMALE CONN 3/8""TUBE - 3/8""BSPT",1
OP0380,2,H03524265,"MALE ELBOW 3/8""TUBE - 3/8""BSPT",1
OP0380,3,H03530068,3/8 BSP SS QUICK CONNEC-SOCT,1
OP0380,4,H03530073,DUST PLUG (EAGLE) 3/8 PLAS,1
OP0380,5,H03543846,BULKHEAD CONN 8MM X 3/8BSPT BDY ONLY,1
OP0380,6,M56691037,PIPE SWG-CONNECTING STUB SS,2
OP0380,7,H03551524,UNION TEE 8MM-8MM-8MM(NORMAL),1
OP0390,,H03537450,NUT&FERRULE SET 8M TUBE SS,4
OP0390,,H03551520,STRAIGHT UNION 8MM-8MM(NORMAL),3
OP0390,1,A60034016,2 PORT SOLENOID TMS VALVE,1
OP0390,2,M66932065,PIPE SWG- SINGLE VALVE FEED,1
OP0400,1,M66932071,PIPE SWG-MB DRIVE FEED,1
OP0400,2,D37480171,LOOM DP DRIVE ANTICONDENS'N G4 Pk1,1
OP0410,,218681017,M8x20 SOC HD SEMS,4
OP0410,,218984010,WASHER SP INT MS NI M8,4
OP0420,,218681028,SCREW SEM SOC HD HEX M5X12 ENP,2
OP0430,"STD,HYX",H06202030,GAS MODULE-VARIMODE+INLET PURGE,1
OP0430,INTEL,H06202040,GAS MODULE-VARIMODE NO EXH,1
OP0430,,218681017,M8 X 20 SOCKET HD SEMS,3
OP0430,,M56110039,DRIP DEFLECTOR,1
OP0430,,218680023,M5X12 POZI HD SEMS,1
OP0430,,H03524278,"MALE CONN. 1/4""TUBE-1/4BSPT",1
OP0440,1,M66932054,PIPE SWG-MB MOTOR IN SS,1
OP0440,2,M56691037,PIPE SWG-CONNECTING STUB SS,1
OP0440,,H03551524,UNION TEE 8MM-8MM-8MM(NORMAL),1
OP0450,1,M56405027,GAS PIPEINLET STG - 200HP Pk1,1
OP0450,2,M56105024,GAS PIPE LV STG - 100LP Pk1,1
OP0450,3,M56405026,GAS PIPE 4TH STG - 200HP Pk1,1
OP0450,4,M56105025,GAS PIPE EXHAUST STG - 100LP Pk1,1
OP0450,5,M56105023,GAS PIPE SHAFT SEAL - 100LP Pk1,1
OP0450,6,M56405041,GAS PIPE FRONT 2-3,1
OP0450,,H03524467,UNION TEE_1-4-INCH,1
OP0450,7,M56205031,GAS PIPE REAR 2-3 1220,1
OP0450,8,M56205033,GAS LINK PIPE,1
OP0450,,H02134019,ORING VIT9830 9.1ID X 1.6SEC,6
OP0450,,H03524256,"UNION 1/4"" TUBE ST. STL",1
OP0460,1,M56405027,GAS PIPEINLET STG - 200HP Pk1,1
OP0460,2,M56105024,GAS PIPE LV STG - 100LP Pk1,1
OP0460,3,M56405026,GAS PIPE 4TH STG - 200HP Pk1,1
OP0460,4,M64925082,MFM GAS PIPE IN,1
OP0460,5,M54105016,LINK GAS PIPE INTEL,2
OP0460,6,M64925081,MFM GAS PIPE IN,1
OP0460,7,M64925083,MFM GAS PIPE IN THIRD STG,1
OP0460,8,M64925084,MFM GAS PIPE OUT THIRD STG,1
OP0460,9,M56105023,GAS PIPE SHAFT SEAL,1
OP0460,10,M56405041,GAS PIPE FRONT 2-3,1
OP0460,11,M56205033,GAS LINK PIPE,1
OP0460,,H03524467,UNION TEE_1-4-INCH,1
OP0460,,H02134019,ORING VIT9830 9.1ID X 1.6SEC,6
OP0460,,H03524256,"UNION 1/4"" TUBE ST. STL",5
OP0465,1,M56105025,GAS PIPE EXHAUST STG - 100LP,1
OP0465,2,M56105023,GAS PIPE SHAFT SEAL - 100LP Pk1,1
OP0465,3,M56105024,GAS PIPE LV STG - 100LP Pk1,1
OP0465,4,M56205031,GAS PIPE REAR 2-3 1220,1
OP0465,5,M56405026,GAS PIPE 4TH STG - 200HP Pk1,1
OP0465,6,M56405027,GAS PIPEINLET STG - 200HP Pk1,1
OP0465,7,M56405041,GAS PIPE FRONT 2-3,1
OP0465,,H02134019,O-RING FKM HP 9.1ID X 1.6SEC,6
OP0465,,H03524467,Union Tee 1/4 Tube (H03524132) MPK5,3
OP0465,8,M61920090,LOWER GAS LINK PIPE RIGHT,1
OP0465,9,M56425023,LOWER LINK PIPE LH,1
OP0465,10,M6K436090,DUAL PURGE LINK PIPE CENTER,1
OP0465,1220,M56425017,COVER PLATE ASSY RH,1
OP0465,1820,M6K436091,COVER PLATE ASSY RH,1
OP0465,11,M56425018,COVER PLATE ASSY LH,1
OP0465,,27522-046,M6X16 SOC HD CAP SCREW ENP CO,8
OP0465,12,"H02134000
",O-RING FKM HP 44.5ID X 2.4SEC,2
OP0465,13,"H02120037
",O-Ring NIT 15.6ID x 2.4SEC,2
OP0465,14,"M56205043
",FILTER HOLDER 100CTR,2
OP0465,15,"H02122033
",O-RING FKM GP 11.6ID X 2.4SEC,2
OP0465,16,"A22305002
",SINTERED FILTER 6.6 DIA X 7 LG,2
OP0470,1,M57282071,TMS MANIFOLD 5V-2R-HF SS IXH,1
OP0470,,218681017,M8x20 SOC HD SEMS,2
OP0470,2,H03524669,INLET_BULKHEAD_3-8_M_FACE_SEAL,1
OP0480,,H03530069,3-8 BSP SS QUICK CONNECT-PLUG,1
OP0480,,H03530074,DUST CAP (EAGLE) 3/8 PLAS,1
OP0490,1,M56401043,PIPE SWG-OUTLET LINK SS,1
OP0490,2,M66932074,PIPE SWG-TEE CONNECT OUT,1
OP0490,,H03551524,UNION TEE 8MM-8MM-8MM(NORMAL),2
OP0500,,M54120024,GAS QC SUPPORT BRACKET,1
OP0500,,218680023,M5X12 POZI SEMS,2
OP0500,,M64925080,GAS SWG PIPE SUPPLY FROM QC,1
OP0500,,H03543571,QC BULKHEAD MALE 1/4 SS BDY ONLY,1
OP0500,,H03524572,FEMALE BULKHEAD QC ¼“ SS,1
OP0505,1,M56401043,PIPE SWG-OUTLET LINK SS,1
OP0505,2,M61920064,PIPE SWG-200H DP MTR OUT,1
OP0505,3,M66932061,PIPE SWG-200H DP GB OUT,1
OP0505,,H03541754,UNION CROSS 8MM BODY,1
OP0505,,H03551524,UNION TEE 8MM-8MM-8MM(NORMAL),1
OP0510,,H03524264,"FEMALE CONN 3/8""TUBE - 3/8""BSPT",1
OP0510,,H03524265,"MALE ELBOW 3/8""TUBE - 3/8""BSPT",1
OP0510,,H03530069,3/8 BSP SS QUICK CONNEC-PLUS,1
OP0510,,H03530074,DUST CAP (EAGLE) 3/8 PLAS,1
OP0520,1,M66932064,PIPE SWG- 200H DP MOTOR OUT-CROSS,1
OP0520,,H03551524,UNION TEE 8MM-8MM-8MM(NORMAL),1
OP0520,2,M66932061,PIPE SWG-200H DP GB OUT,1
OP0520,,H03551520,STRAIGHT UNION 8MM-8MM(NORMAL),1
OP0530,(Non XD),M66932063,PIPE SWG-MB CONNECTION OUT SS,1
OP0530,(XD+),M61920065,PIPE SWG-MB CONNECTION OUT SS,1
OP0530,,H03551524,UNION TEE 8MM-8MM-8MM(NORMAL),1
OP0530,1,M66932052,PIPE SWG-MB MOTOR OUT SS,1
OP0530,2,M56482035,PIPE SWG-MB DRIVE RTN SS,1
OP0540,1,H06201023,CHECK VALVE SS 160PSI   B/ONLY,1
OP0540,2,M56101073,PIPE SWG-TMS EXPANSION VOL SS,1
OP0540,,H03524039,CAP 8MM TUBE,1
OP0540,3,M56401035,PIPE SWG-ECOVER RETURN SS,1
OP0540,,H03551524,UNION TEE 8MM-8MM-8MM(NORMAL),1
