OperationStep,Man.Item.No,Description,Qty
OP0010,IE0123064,EXHAUST PURGE LINE,1
OP0010,IE0123173,PLUG FOR PORT ½ TUBE,1
OP0020,IE0123064,EXHAUST PURGE LINE,1
OP0030,IE0123091,EXHAUST PURGE LINE ASSY,1
OP0030,IE0123272,N2 FRAME MOUNT ASSY,1
OP0030,IE0123173,PLUG FOR PORT ½ TUBE,1
OP0040,IE0123064,EXHAUST PURGE LINE ASSY,2
OP0040,IE0123091,EXHAUST PURGE LINE ASSY,2
OP0050,IE0123261,N2 FRAME MOUNT ASSY,1
OP0050,IE0123173,PLUG FOR PORT ½ TUBE,1
OP0060,IE0123272,N2 FRAME MOUNT ASSY,1
OP0060,IE0123173,PLUG FOR PORT ½ TUBE,1
OP0070,IE0123069,N2 FRAME MOUNT ASSY,1
OP0070,IE0123173,PLUG FOR PORT ½ TUBE,1
OP0080,IE0123069,N2 FRAME MOUNT ASSY,1
OP0090,IE0123090,1_2 INCH N2 TUBE COM ASSY,1
OP0090,IE0123272,N2 FRAME MOUNT ASSY,1
OP0090,IE0123173,PLUG FOR PORT ½ TUBE,1
OP0100,IE0123071,END USER SRC N2 COM ASSY,2
OP0110,IE0123321,EXHAUST PURGE LINE ASSY,1
OP0110,IE0123272,N2 FRAME MOUNT ASSY,1
OP0110,IE0123173,PLUG FOR PORT ½ TUBE,1
OP0120,IE0123097,EXHAUST PURGE LINE ASSY,1
OP0130,IE0123064,EXHAUST PURGE LINE,1
OP0130,IE0123209,½ INCH 370MM FLEXIBLE HOSE,1
OP0130,IE0123173,PLUG FOR PORT ½ TUBE,1
OP0140,IE0123272,N2 FRMAE MOUNT ASSY,1
OP0140,IE0123173,PLUG FOR PORT ½ TUBE,1
OP0150,IE0123318,N2 FRAME MOUNT ASSY,1
OP0150,IE0123276,N2 CMN FRAME MOUNT ASSY,1
OP0160,IE0123317,N2 FRAME MOUNT ASSY,1
OP0170,IE0123319,½ INCH N2 TUBE COMMON ASSY,1
OP0170,IE0123272,N2 FRAME MOUNT ASSY,1
OP0170,IE0123071,END USER SRC N2 COM ASSY,1
OP0180,IE0123095,½ INCH N2 TUBE COMMON ASSY,1
OP0180,IE0123071,END USER SRC N2 COM ASSY,2
OP0190,IE0123316,EXHAUST PURGE LINE,1
OP0190,IE0123071,END USER SRC N2 COM ASSY,1
OP0200,IE0113107,L BRACKET,12
OP0200,218181452,SCREW HX SS M10 * 25,30
OP0200,218983511,WSHR S-COIL M10 SS,30
OP0200,218980211,WSHR FORM B M10 MS NI,30
OP0200,IE0113106,ISO200 TOP PLATE,6
OP0220,IE0113304,ISO200 GATE VALVE VAT,6
OP0220,B27158081,ISO200 TRAPPED O RING VITON,6
OP0220,218072454,SCREW M10*35 HEX HD MS CP,72
OP0220,218983511,WSHR S-COIL M10 SS,72
