OperationStep,Ref.,Man.Item.No,Description,Qty
OP0040,0040,A41200517,"HV/2nd Stage Stator 100LP
",1
OP0040,0040,"A41200517
","HV/2nd Stage Stator 100HP

",1
OP0040,0040,"A41202017
",HV/2nd Stage Stator 200LP,1
OP0040,0040,A41201017,HV/2nd Stage Stator 200HP,1
OP0040,0040,A41203017,HV/2nd Stage Stator 300LP,1
OP0040,0040,A41205017,HV/2nd Stage Stator 500NR,1
OP0040,0040,A41672917,"HV STAGE STATOR - PLATING XD 200HP S XD+
",1
OP0040,0040,A41672917,"HV STAGE STATOR - PLATING XD 200HP S XD+
",1
OP0062,,H02134011,O-RING FKM HP 255.5ID X 4.0SEC,1
OP0065,,A41672918,2ND STAGE STATOR - PLATING XD,1
OP0067,0090,218091453,SCREW CAP HT M10X30 G12.9 100C,8
OP0070,0050/0060,H02134011,X2/Y2 R0TOR SG 100LP,1
OP0070,0050/0060,H02134013,X2/Y2 R0TOR SG 100HP,1
OP0070,0050/0060,H02137011,X2/Y2 R0TOR SG 200LP,1
OP0070,0050/0060,H02137011,X2/Y2 ROTOR SG 200HP,1
OP0070,0050/0060,,X2/Y2 R0TOR SG 300LP,1
OP0070,0050/0060,,X2/Y2 R0TOR SG 500NR,1
OP0070,0050/0060,,X2./Y2 ROTOR PLATING XD 200HP S XD+,1
OP0070,0050/0060,,X2./Y2 ROTOR PLATING XD 200HP S XD+,1
OP0080,1090,0050/0060,ORING VIT9830 255.5ID X 4.0SEC 100C,1
OP0080,0070,0050/0060,ORING VIT9830 371.5ID X 4.0SEC 150C,1
OP0080,,0050/0060,ORING FFKM TSS J8290 252.0ID X 3.88SEC,1
OP0080,,0050/0060,ORING FFKM TSS J8290 252.0ID X 3.88SEC,1
OP0100,0080,A41200519,"3rd stage stator 100LP
",1
OP0100,0080,A41600919,3rd stage stator - Plated XD 100HP,1
OP0100,0080,A41600919,3rd stage stator - Plated XD 200LP,1
OP0100,0080,A41601919,3rd stage stator - Plated XD 200HP,1
OP0100,0080,A41601919,3rd stage stator - Plated XD 300LP ,1
OP0100,0080,A41205019,3rd stage stator 500NR,1
OP0100,0080,A41672919,3rd stage stator – Plated XD 200HP S XD+,1
OP0110,0090,218092453,SCR CAP HT ENP M10X30LG G12.9 100C,8
OP0110,0090,218092453,SCR CAP HT ENP M10X30LG G12.9 150C,12
OP0120,0100/0110,H02134011,X3/Y3 ROTOR SG 100LP,1
OP0120,0100/0110,H02134013,"X3/Y3 ROTOR-Plated 
XD 100HP",1
OP0120,0100/0110,H02137011,"X3/Y3 ROTOR-Plated 
XD 200LP",1
OP0120,0100/0110,,"X3/Y3 ROTOR-Plated 
XD 200HP / 200HP S XD+",1
OP0120,0100/0110,,"X3/Y3 ROTOR-Plated 
XD 300LP ",1
OP0120,0100/0110,,X3/Y3 ROTOR SG 500NR,1
OP0120,,,,1
OP0130,100C,0100/0110,ORING VIT9830 255.5ID X 4.0SEC 100C,1
OP0130,150C,0100/0110,ORING VIT9830 371.5ID X 4.0SEC 150C,1
OP0130,,0100/0110,ORING FFKM TSS J8290 252.0ID X 3.88SEC,1
OP0150,0120,"A41200520
","4th Stage Stator 100HP

",1
OP0150,0120,"A41200520
",4th Stage Stator 200LP,1
OP0150,0120,A41601920,"4th Stage Stator 200HP-PLATED XD
 XD
",1
OP0150,0120,A41601920,"4th Stage Stator 300LP-PLATED XD
 XD",1
