OperationStep,Ref.,Man.Item.No,Description,Qty
OP0040,0040,A41200517,"HV/2nd Stage Stator 100LP
",1
OP0040,0040,"A41200517
","HV/2nd Stage Stator 100HP

",1
OP0040,0040,"A41202017
",HV/2nd Stage Stator 200LP,1
OP0040,0040,A41201017,HV/2nd Stage Stator 200HP,1
OP0040,0040,A41203017,HV/2nd Stage Stator 300LP,1
OP0040,0040,A41205017,HV/2nd Stage Stator 500NR,1
OP0040,0040,A41672917,"HV STAGE STATOR - PLATING XD 200HP S XD+
",1
OP0040,0040,A41672917,"HV STAGE STATOR - PLATING XD 200HP S XD+
",1
OP0065,,A41672918,2ND STAGE STATOR - PLATING XD,1
OP0070,0050/0060,H02134011,X2/Y2 R0TOR SG 100LP,1
OP0070,0050/0060,H02134013,X2/Y2 R0TOR SG 100HP,1
OP0070,0050/0060,H02137011,X2/Y2 R0TOR SG 200LP,1
OP0070,0050/0060,H02137011,X2/Y2 ROTOR SG 200HP,1
OP0070,0050/0060,,X2/Y2 R0TOR SG 300LP,1
OP0070,0050/0060,,X2/Y2 R0TOR SG 500NR,1
OP0070,0050/0060,,X2./Y2 ROTOR PLATING XD 200HP S XD+,1
OP0070,0050/0060,,X2./Y2 ROTOR PLATING XD 200HP S XD+,1
OP0100,0080,A41200519,"3rd stage stator 100LP
",1
OP0100,0080,A41600919,3rd stage stator - Plated XD 100HP,1
OP0100,0080,A41600919,3rd stage stator - Plated XD 200LP,1
OP0100,0080,A41601919,3rd stage stator - Plated XD 200HP,1
OP0100,0080,A41601919,3rd stage stator - Plated XD 300LP ,1
OP0100,0080,A41205019,3rd stage stator 500NR,1
OP0100,0080,A41672919,3rd stage stator – Plated XD 200HP S XD+,1
M,0100/0110,H02134011,X3/Y3 ROTOR SG 100LP,1
M,0100/0110,H02134013,"X3/Y3 ROTOR-Plated 
XD 100HP",1
M,0100/0110,H02137011,"X3/Y3 ROTOR-Plated 
XD 200LP",1
M,0100/0110,,"X3/Y3 ROTOR-Plated 
XD 200HP / 200HP S XD+",1
M,0100/0110,,"X3/Y3 ROTOR-Plated 
XD 300LP ",1
M,0100/0110,,X3/Y3 ROTOR SG 500NR,1
M,,,,1
OP0150,0120,"A41200520
","4th Stage Stator 100HP

",1
OP0150,0120,"A41200520
",4th Stage Stator 200LP,1
OP0150,0120,A41601920,"4th Stage Stator 200HP-PLATED XD
 XD
",1
OP0150,0120,A41601920,"4th Stage Stator 300LP-PLATED XD
 XD",1
OP0150,0120,A41605920,4th Stage Stator 500HP-PLATED XD XD,1
OP0150,0120,A41672920,4th STAGE STATOR 200HP S XD+- PLATED XD,1
OP0170,0130/0140,A41200346,X4/Y4 ROTOR-Plated XD 100LP,1
OP0170,0130/0140,A41204046,X4/Y4 ROTOR-Plated XD 100HP,1
OP0170,0130/0140,,X4/Y4 ROTOR-Plated XD 200LP,1
OP0170,0130/0140,,X4/Y4 ROTOR-Plated XD 200HP /200HP S XD+,1
OP0170,0130/0140,,X4/Y4 ROTOR NR 500NR,1
S,0070,H02134011,ORING VIT9830 255.5ID X 4.0SEC.100C,1
S,0070,H02134013,ORING VIT9830 371.5ID X 4.0SEC. 150C,1
S,,H02137011,ORING FFKM TSS J8290 252.0ID X 3.88SEC,1
S,,H02137011,ORING FFKM TSS J8290 252.0ID X 3.88SEC,1
S,0070,H02134011,ORING VIT9830 255.5ID X 4.0SEC.100CTR,1
